Species1,Species2,Species3,Time
619,93,224,643
655,85,258,644
645,89,247,645
712,79,270,646
652,101,257,647
693,93,273,648
682,104,252,649
721,114,253,650
672,103,252,651
684,110,275,652
690,97,277,653
684,94,334,654
661,109,318,655
659,91,306,656
722,118,331,657
695,98,357,658
663,111,382,659
686,126,346,660
711,118,365,661
705,99,393,662
692,119,405,663
752,97,412,664
731,111,432,665
766,109,354,666
753,112,368,667
747,106,378,668
734,113,411,669
723,122,423,670
673,143,438,671
716,144,425,672
762,130,400,673
707,129,440,674
738,143,446,675
781,128,403,676
751,136,419,677
732,149,429,678
749,114,464,679
761,143,413,680
748,154,445,681
761,143,474,682
780,152,471,683
736,148,478,684
733,145,495,685
734,134,488,686
764,120,477,687
738,126,524,688
734,122,501,689
753,161,490,690
740,116,516,691
769,145,537,692
770,154,527,693
765,163,520,694
753,186,519,695
745,149,584,696
789,142,535,697
758,178,543,698
774,182,530,699
781,176,528,700
751,164,517,701
770,165,572,702
741,149,574,703
789,163,549,704
759,143,579,705
752,136,596,706
764,162,534,707
780,157,563,708
758,172,553,709
773,180,534,710
738,169,617,711
843,181,543,712
804,169,562,713
801,193,585,714
770,168,552,715
730,219,568,716
747,197,577,717
797,190,550,718
791,173,586,719
796,205,571,720
770,207,590,721
807,183,576,722
841,174,589,723
774,197,567,724
792,194,585,725
793,188,582,726
781,197,593,727
780,199,602,728
784,213,597,729
777,203,600,730
783,188,597,731
798,203,627,732
792,215,577,733
809,216,537,734
813,216,595,735
784,209,577,736
779,215,591,737
797,220,559,738
795,224,571,739
780,237,577,740
784,235,603,741
776,242,586,742
800,227,582,743
802,225,585,744
800,240,599,745
820,247,595,746
784,245,562,747
827,260,540,748
802,253,530,749
752,225,616,750
790,248,598,751
819,254,593,752
822,204,604,753
807,258,570,754
824,259,603,755
782,255,565,756
811,226,569,757
717,254,654,758
756,254,629,759
800,272,604,760
805,268,620,761
775,259,611,762
796,265,624,763
802,278,615,764
771,248,646,765
793,251,626,766
794,277,628,767
792,281,622,768
792,286,617,769
792,320,585,770
783,255,649,771
796,294,602,772
781,322,584,773
860,278,594,774
846,312,559,775
793,316,620,776
834,311,569,777
804,283,602,778
841,311,588,779
782,316,602,780
851,300,566,781
820,281,583,782
800,338,608,783
841,339,551,784
826,337,541,785
817,339,505,786
840,307,562,787
815,330,555,788
820,351,542,789
839,304,602,790
818,333,586,791
832,350,543,792
860,343,520,793
827,330,580,794
822,354,534,795
811,332,544,796
857,358,522,797
806,345,547,798
843,340,555,799
829,331,546,800
834,355,539,801
846,390,509,802
852,346,551,803
870,346,491,804
830,369,524,805
868,389,544,806
858,395,474,807
820,419,541,808
875,382,503,809
865,377,482,810
847,392,523,811
867,403,471,812
890,402,490,813
859,406,485,814
870,393,486,815
849,385,505,816
866,407,478,817
858,460,438,818
871,430,470,819
866,407,479,820
858,434,478,821
880,438,449,822
879,398,470,823
809,485,470,824
