Species1,Species2,Species3,Time
216,1251,250,611
197,1306,268,612
180,1213,318,613
201,1275,283,614
192,1304,288,615
214,1241,291,616
210,1298,261,617
191,1322,235,618
188,1308,255,619
201,1302,300,620
182,1333,235,621
188,1343,246,622
176,1283,290,623
191,1291,268,624
183,1336,269,625
178,1299,252,626
187,1297,290,627
191,1272,278,628
177,1297,260,629
185,1238,291,630
181,1302,273,631
182,1279,292,632
194,1299,243,633
168,1305,252,634
193,1256,251,635
187,1306,268,636
180,1259,268,637
193,1306,256,638
195,1313,243,639
201,1272,269,640
162,1312,271,641
167,1343,238,642
180,1334,256,643
183,1351,244,644
190,1311,265,645
175,1286,279,646
158,1319,244,647
174,1322,249,648
174,1311,241,649
184,1352,257,650
219,1313,244,651
175,1342,249,652
176,1316,245,653
183,1347,289,654
197,1354,233,655
171,1344,233,656
180,1393,206,657
156,1341,243,658
177,1348,239,659
160,1333,244,660
180,1368,253,661
172,1351,243,662
173,1350,249,663
178,1379,254,664
165,1380,250,665
174,1359,227,666
173,1321,247,667
171,1375,207,668
163,1379,247,669
177,1384,243,670
182,1365,263,671
155,1370,240,672
181,1388,243,673
176,1362,249,674
162,1402,222,675
182,1359,239,676
150,1370,257,677
173,1414,204,678
172,1342,240,679
160,1363,225,680
201,1354,229,681
158,1324,266,682
178,1361,214,683
157,1396,230,684
167,1344,222,685
153,1397,204,686
175,1372,227,687
158,1390,229,688
184,1354,257,689
182,1384,218,690
175,1422,220,691
166,1419,229,692
177,1408,238,693
195,1358,205,694
175,1406,218,695
197,1393,217,696
177,1396,228,697
162,1388,235,698
170,1360,245,699
156,1440,232,700
170,1388,245,701
170,1416,218,702
190,1365,227,703
169,1400,228,704
175,1438,237,705
150,1435,216,706
187,1440,198,707
153,1440,216,708
171,1407,248,709
163,1431,231,710
153,1394,238,711
167,1373,230,712
180,1408,227,713
155,1455,219,714
172,1463,189,715
165,1406,232,716
171,1389,200,717
152,1380,211,718
162,1428,204,719
168,1369,232,720
159,1355,254,721
152,1416,216,722
170,1403,231,723
135,1417,211,724
149,1430,224,725
148,1380,246,726
148,1371,283,727
149,1372,228,728
138,1437,208,729
140,1416,228,730
149,1406,225,731
137,1417,206,732
143,1401,229,733
160,1418,220,734
157,1431,222,735
149,1449,215,736
175,1421,231,737
160,1431,206,738
140,1422,199,739
150,1427,201,740
153,1433,213,741
168,1415,216,742
148,1448,208,743
139,1454,213,744
150,1434,206,745
157,1422,218,746
137,1411,228,747
155,1439,214,748
155,1449,229,749
140,1404,200,750
138,1405,223,751
161,1422,209,752
139,1453,200,753
166,1375,216,754
160,1467,189,755
128,1474,215,756
140,1473,190,757
132,1495,178,758
133,1459,196,759
136,1468,191,760
180,1436,200,761
143,1430,216,762
173,1448,183,763
139,1501,190,764
136,1466,202,765
159,1436,188,766
120,1480,203,767
156,1465,218,768
159,1475,164,769
156,1464,154,770
157,1428,187,771
136,1489,174,772
131,1530,161,773
146,1439,192,774
117,1485,198,775
163,1427,179,776
155,1449,187,777
103,1508,185,778
137,1500,181,779
135,1513,168,780
145,1466,187,781
130,1461,183,782
126,1506,141,783
131,1519,165,784
132,1481,180,785
123,1516,150,786
132,1476,171,787
131,1509,178,788
141,1460,183,789
134,1497,176,790
156,1474,164,791
137,1471,166,792
135,1463,173,793
134,1470,163,794
139,1515,177,795
145,1463,172,796
155,1448,168,797
138,1511,160,798
146,1517,173,799
134,1510,161,800
141,1494,161,801
147,1482,157,802
128,1496,165,803
147,1469,158,804
130,1535,140,805
123,1565,148,806
131,1517,164,807
140,1540,123,808
163,1455,151,809
126,1465,143,810
113,1530,161,811
134,1507,155,812
134,1560,138,813
117,1512,162,814
113,1532,160,815
150,1498,146,816
148,1499,147,817
130,1554,131,818
117,1517,122,819
150,1488,122,820
130,1489,151,821
159,1486,138,822
138,1538,133,823
146,1508,142,824
138,1481,158,825
130,1469,153,826
132,1524,132,827
129,1500,138,828
151,1504,133,829
141,1533,135,830
140,1506,153,831
153,1528,148,832
148,1513,145,833
152,1482,130,834
140,1519,133,835
142,1492,128,836
124,1532,150,837
130,1497,144,838
142,1513,141,839
139,1510,134,840
150,1449,150,841
130,1508,145,842
126,1497,164,843
138,1527,136,844
121,1540,124,845
133,1520,146,846
122,1563,127,847
129,1512,139,848
125,1556,136,849
137,1506,131,850
143,1528,135,851
137,1550,140,852
119,1492,142,853
152,1495,155,854
145,1494,132,855
140,1504,137,856
127,1500,141,857
141,1487,121,858
125,1549,129,859
123,1513,119,860
122,1517,111,861
135,1537,141,862
142,1524,140,863
128,1495,135,864
108,1558,128,865
137,1566,115,866
132,1524,124,867
140,1516,117,868
129,1525,121,869
151,1517,129,870
127,1554,127,871
125,1568,111,872
124,1534,135,873
132,1510,139,874
119,1515,105,875
116,1538,128,876
130,1515,124,877
130,1528,136,878
138,1520,123,879
129,1563,107,880
121,1517,129,881
125,1495,131,882
125,1534,131,883
127,1577,120,884
110,1533,133,885
122,1545,112,886
122,1548,112,887
137,1552,105,888
130,1569,116,889
116,1553,109,890
125,1545,123,891
127,1582,108,892
114,1580,113,893
132,1546,122,894
143,1579,111,895
116,1559,115,896
131,1576,100,897
135,1578,112,898
130,1586,104,899
120,1566,113,900
108,1553,112,901
115,1570,125,902
112,1566,94,903
112,1582,109,904
118,1558,116,905
100,1595,106,906
133,1551,125,907
112,1563,117,908
138,1560,119,909
99,1597,109,910
121,1578,109,911
117,1591,122,912
112,1558,136,913
115,1566,125,914
118,1563,114,915
144,1539,115,916
116,1616,129,917
121,1552,119,918
116,1524,103,919
119,1576,103,920
89,1617,93,921
126,1570,120,922
111,1597,116,923
127,1554,128,924
110,1551,117,925
116,1562,99,926
103,1589,109,927
118,1594,99,928
141,1545,97,929
122,1580,116,930
130,1554,117,931
123,1603,112,932
111,1580,120,933
112,1576,108,934
112,1562,121,935
117,1555,98,936
140,1592,91,937
137,1582,105,938
103,1554,121,939
114,1622,104,940
110,1555,107,941
108,1581,111,942
112,1561,112,943
130,1568,116,944
89,1600,115,945
106,1577,107,946
110,1562,107,947
124,1543,93,948
117,1604,106,949
113,1567,105,950
117,1525,135,951
