Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
326,792,495,0,0,0,[],[],[],232
350,756,510,0,0,0,[],[],[],233
355,772,510,0,0,0,[],[],[],234
313,761,519,0,0,0,[],[],[],235
345,773,517,0,0,0,[],[],[],236
351,774,488,0,0,0,[],[],[],237
342,745,510,0,0,0,[],[],[],238
323,794,492,0,0,0,[],[],[],239
325,777,527,0,0,0,[],[],[],240
307,808,500,0,0,0,[],[],[],241
324,816,497,0,0,0,[],[],[],242
339,762,517,0,0,0,[],[],[],243
302,739,513,0,0,0,[],[],[],244
329,739,510,0,0,0,[],[],[],245
338,799,508,0,0,0,[],[],[],246
293,808,553,0,0,0,[],[],[],247
287,802,486,0,0,0,[],[],[],248
322,809,486,0,0,0,[],[],[],249
316,813,499,0,0,0,[],[],[],250
318,801,490,0,0,0,[],[],[],251
313,819,521,0,0,0,[],[],[],252
317,776,508,0,0,0,[],[],[],253
323,852,463,0,0,0,[],[],[],254
327,800,478,0,0,0,[],[],[],255
311,812,507,0,0,0,[],[],[],256
308,833,455,0,0,0,[],[],[],257
321,786,507,0,0,0,[],[],[],258
353,818,451,0,0,0,[],[],[],259
325,778,468,0,0,0,[],[],[],260
299,813,511,0,0,0,[],[],[],261
314,759,501,0,0,0,[],[],[],262
291,791,486,0,0,0,[],[],[],263
332,776,505,0,0,0,[],[],[],264
335,813,486,0,0,0,[],[],[],265
290,838,487,0,0,0,[],[],[],266
290,807,501,0,0,0,[],[],[],267
304,846,487,0,0,0,[],[],[],268
301,821,500,0,0,0,[],[],[],269
321,782,511,0,0,0,[],[],[],270
287,810,510,0,0,0,[],[],[],271
314,799,506,0,0,0,[],[],[],272
342,785,497,0,0,0,[],[],[],273
326,819,511,0,0,0,[],[],[],274
303,826,487,0,0,0,[],[],[],275
289,833,491,0,0,0,[],[],[],276
287,812,489,0,0,0,[],[],[],277
330,791,520,0,0,0,[],[],[],278
278,818,505,0,0,0,[],[],[],279
292,803,502,0,0,0,[],[],[],280
290,816,513,0,0,0,[],[],[],281
303,804,527,0,0,0,[],[],[],282
313,789,516,0,0,0,[],[],[],283
274,849,512,0,0,0,[],[],[],284
311,849,504,0,0,0,[],[],[],285
325,823,514,0,0,0,[],[],[],286
277,826,513,0,0,0,[],[],[],287
302,816,545,0,0,0,[],[],[],288
273,882,524,0,0,0,[],[],[],289
295,824,503,0,0,0,[],[],[],290
295,853,452,0,0,0,[],[],[],291
280,903,536,0,0,0,[],[],[],292
267,892,507,0,0,0,[],[],[],293
301,805,528,0,0,0,[],[],[],294
300,823,537,0,0,0,[],[],[],295
301,778,549,0,0,0,[],[],[],296
284,850,528,0,0,0,[],[],[],297
277,815,568,0,0,0,[],[],[],298
255,838,489,0,0,0,[],[],[],299
271,858,501,0,0,0,[],[],[],300
268,868,509,0,0,0,[],[],[],301
256,842,543,0,0,0,[],[],[],302
283,827,532,0,0,0,[],[],[],303
283,836,504,0,0,0,[],[],[],304
267,856,553,0,0,0,[],[],[],305
285,885,478,0,0,0,[],[],[],306
249,885,455,0,0,0,[],[],[],307
296,864,463,0,0,0,[],[],[],308
282,888,455,0,0,0,[],[],[],309
279,913,459,0,0,0,[],[],[],310
276,908,466,0,0,0,[],[],[],311
269,925,491,0,0,0,[],[],[],312
269,893,494,0,0,0,[],[],[],313
302,872,494,0,0,0,[],[],[],314
286,910,486,0,0,0,[],[],[],315
272,863,497,0,0,0,[],[],[],316
267,862,507,0,0,0,[],[],[],317
266,900,500,0,0,0,[],[],[],318
290,909,457,0,0,0,[],[],[],319
292,923,480,0,0,0,[],[],[],320
281,876,489,0,0,0,[],[],[],321
275,886,515,0,0,0,[],[],[],322
291,869,457,0,0,0,[],[],[],323
263,913,492,0,0,0,[],[],[],324
298,895,496,0,0,0,[],[],[],325
257,963,466,0,0,0,[],[],[],326
286,878,490,0,0,0,[],[],[],327
259,971,461,0,0,0,[],[],[],328
260,930,486,0,0,0,[],[],[],329
276,871,477,0,0,0,[],[],[],330
255,960,454,0,0,0,[],[],[],331
281,901,453,0,0,0,[],[],[],332
270,936,460,0,0,0,[],[],[],333
245,927,488,0,0,0,[],[],[],334
270,889,501,0,0,0,[],[],[],335
258,927,444,0,0,0,[],[],[],336
267,893,533,0,0,0,[],[],[],337
236,977,502,0,0,0,[],[],[],338
297,920,496,0,0,0,[],[],[],339
267,940,499,0,0,0,[],[],[],340
250,980,458,0,0,0,[],[],[],341
274,939,462,0,0,0,[],[],[],342
270,969,474,0,0,0,[],[],[],343
279,913,472,0,0,0,[],[],[],344
267,940,460,0,0,0,[],[],[],345
240,937,486,0,0,0,[],[],[],346
251,962,469,0,0,0,[],[],[],347
257,973,463,0,0,0,[],[],[],348
